"country","year","hom","ineq","unemp","edu","gdp","polic","tertiary","second","unemployment_low","unemployment_medium","unemployment_high","unsent"
"Albania",2003,5.33589649200439,30.25,15,8,1890.68151855468,399.549987792968,16.73955,86.91026,0,0,1,19.133150100708
"Albania",2004,4.22887992858886,31.1000003814697,14.3999996185302,8,2416.58813476562,399.320007324218,19.99223,88.207,0,0,1,26.8418788909912
"Albania",2005,5.00133323669433,31.7000007629394,14.1381473541259,8,2709.14282226562,340.670013427734,23.31333,89.593,0,0,1,33.641975402832
"Albania",2006,3.11033749580383,31.25950050354,13.8197345733642,8,3005.01293945312,344.179992675781,26.78653,90.8,0,0,1,32.9366493225098
"Albania",2007,3.47232890129089,31.25,15.9663171768188,8,3603.013671875,322.170013427734,30.87639,92.0967,0,0,1,63.261646270752
"Albania",2008,3.10865139961242,30.3999996185302,13.5992841720581,8,4370.53955078125,323.040008544921,32.3122,91.60508,0,0,1,39.6053695678711
"Albania",2009,2.86906766891479,30.7537994384765,13.6738996505737,8,4114.13671875,315,33.63087,90.47435,0,0,1,34.8832206726074
"Albania",2010,4.31895685195922,30.2651004791259,14.8644256591796,8,4094.35888671875,333.230010986328,44.87463,94.95968,0,0,1,40.4766998291016
"Albania",2011,4.85194873809814,29.6180000305175,13.4889984130859,8,4437.17822265625,336.899993896484,50.19837,94.19111,0,0,1,39.7080917358398
"Albania",2012,5.37664031982421,29,13.3759269714355,9,4247.6142578125,337.700012207031,61.44663,93.37505,0,0,1,38.0251197814941
"Albania",2013,4.24806213378906,27.8456001281738,15.8659400939941,9,4413.08154296875,328.690002441406,68.07823,91.67738,0,0,1,39.5158042907715
"Albania",2014,4.00578594207763,26.7203006744384,17.4878597259521,9,4578.66650390625,333.079986572265,70.34586,90.80849,0,0,1,51.3974304199219
"Albania",2015,2.25768232345581,25.4356002807617,17.7999992370605,9,3952.83081054687,336.350006103515,66.40289,96.46889,0,0,1,49.2392578125
"Austria",2003,0.611557066440582,29.5,4.80000019073486,8,32222.896484375,331,56.4528,103.81988,1,0,0,25.9400005340576
"Austria",2004,0.718040645122528,30,5.5,8,36821.51953125,330.760009765625,58.6786,103.13,1,0,0,24.4839992523193
"Austria",2005,0.654255986213684,29.7999992370605,5.59999990463256,8,38403.1328125,329.220001220703,60.9044,102.743,0,1,0,23.2469863891602
"Austria",2006,0.736293911933898,28.7000007629394,5.30000019073486,8,40635.28125,321.950012207031,63.1302,102.33033,1,0,0,23.4980564117432
"Austria",2007,0.541400074958801,29.5,4.90000009536743,8,46855.7734375,320.709991455078,63.05174,101.40468,1,0,0,21.7931652069092
"Austria",2008,0.695572674274444,27.7999992370605,4.09999990463256,8,51708.765625,319.549987792968,65.9017,100.72989,1,0,0,22.829776763916
"Austria",2009,0.609316229820251,31.5,5.30000019073486,8,47963.1796875,318.410003662109,68.136,100.06401,1,0,0,22.8984851837158
"Austria",2010,0.689659357070922,30.2999992370605,4.80000019073486,8,46858.04296875,327.739990234375,75.64574,101.90101,1,0,0,21.6611824035645
"Austria",2011,0.886539101600646,38.2000007629394,4.59999990463256,9,51374.95703125,329.029998779296,78.52225,101.71398,1,0,0,20.3931198120117
"Austria",2012,0.927496969699859,30.5,4.90000009536743,9,48567.6953125,328.709991455078,78.88093,99.23123,1,0,0,20.3407154083252
"Austria",2013,0.722797572612762,30.7999992370605,5.40000009536743,9,50716.70703125,327.359985351562,78.6630799999999,97.16634,1,0,0,20.4130001068115
"Austria",2014,0.521242380142211,30.5,5.59999990463256,9,51704.54296875,327.559997558593,78.9719999999999,96.68084,0,1,0,21.0998630523682
"Austria",2015,0.53003591299057,27.2000007629394,5.69999980926513,9,44206.78515625,327.190002441406,80.56431,96.0398,0,1,0,20.7947387695312
"Belgium",2003,2.20749878883361,28.1000003814697,8.19999980926513,12,30743.90234375,348.33999633789,59.83446,92.131,0,1,0,40.9500007629395
"Belgium",2004,2.55722332000732,30.5,8.39999961853027,12,35589.6875,352.700012207031,61.02287,91.29,0,1,0,39.939998626709
"Belgium",2005,2.0954053401947,31.1000003814697,8.5,12,36967.2578125,368.429992675781,61.08548,90.3,0,1,0,37.8666687011719
"Belgium",2006,2.08106422424316,29.2999992370605,8.30000019073486,12,38852.37109375,366.470001220703,61.65359,89.60427,0,1,0,37.9200019836426
"Belgium",2007,1.97236168384552,28,7.5,12,44403.765625,361.690002441406,61.19985,86.28532,0,1,0,36.9099998474121
"Belgium",2008,1.88326132297515,28.5,7,12,48424.57421875,357.920013427734,62.08556,83.71185,0,1,0,35.9000015258789
"Belgium",2009,1.74028503894805,28.5,7.90000009536743,12,44880.57421875,367.820007324218,65.26719,84.16858,0,1,0,34.8899993896484
"Belgium",2010,1.72780430316925,28.3999996185302,8.30000019073486,12,44380.17578125,365.269989013671,67.82881,89.30755,0,1,0,35.1481857299805
"Belgium",2011,1.94314348697662,28.1000003814697,7.19999980926513,12,47702.8125,343.890014648437,69.84253,92.20604,0,1,0,33.6283187866211
"Belgium",2012,1.84958791732788,27.5,7.59999990463256,12,44740.58203125,346.079986572265,71.19468,92.56113,0,1,0,32.108455657959
"Belgium",2013,1.83831572532653,27.7000007629394,8.39999961853027,12,46582.66796875,345.480010986328,72.11816,93.75625,0,1,0,30.8499984741211
"Belgium",2014,1.85397112369537,28.1000003814697,8.5,12,47351.97265625,343.690002441406,72.9970699999999,93.92957,0,1,0,29.8400020599365
"Belgium",2015,1.94898271560668,27.7000007629394,8.5,12,40361.15234375,340.170013427734,74.5577799999999,95.03984,0,1,0,27.4604320526123
"Brazil",2003,25.6614761352539,57.599998474121,9.10000038146972,8,3059.58642578125,109.899002075195,23.21699,76.391,0,0,1,21.6000003814697
"Brazil",2004,24.0226764678955,56.5,9.72999954223632,8,3623.0498046875,123.581001281738,24.49124,75.85272,0,0,1,27.7200012207031
"Brazil",2005,23.3496646881103,56.2999992370605,8.89000034332275,8,4770.18408203125,137.263000488281,25.98963,74.793,0,0,1,28.2555160522461
"Brazil",2006,23.8535442352294,55.599998474121,9.31000041961669,9,5860.14599609375,188.649993896484,28.38816,73.581,0,0,1,43.3146553039551
"Brazil",2007,23.3606166839599,54.9000015258789,8.09000015258789,9,7313.5576171875,155.970001220703,30.78669,72.625,0,1,0,43.4383201599121
"Brazil",2008,23.7771949768066,54,7.63000011444091,9,8787.6103515625,177.610000610351,35.5621,71.992,0,1,0,30.791919708252
"Brazil",2009,22.841926574707,53.7000007629394,8.27999973297119,9,8553.3818359375,169.110000610351,37.0384,71.62493,0,1,0,42.5500831604004
"Brazil",2010,21.9882221221923,53.2999992370605,6.73979997634887,9,11224.154296875,138.75,40.249115,71.687525,0,1,0,41.8770942687988
"Brazil",2011,24.2009162902832,52.9000015258789,6.69000005722045,9,13167.47265625,257.420013427734,43.45983,71.75012,0,1,0,40.6180267333984
"Brazil",2012,26.452802658081,52.599998474121,7.19000005722045,9,12291.466796875,240.740005493164,44.96641,72.123,0,1,0,40.3345146179199
"Brazil",2013,26.7592334747314,52.7999992370605,6.98999977111816,14,12216.904296875,262.420013427734,46.81655,72.291,0,1,0,40.5332832336426
"Brazil",2014,27.9565753936767,51.5,6.67000007629394,14,12026.619140625,260.401000976562,49.91353,72.492,0,1,0,41.168212890625
"Brazil",2015,28.3833770751953,51.2999992370605,8.4399995803833,14,8750.22265625,274.0830078125,51.05413,73.0192,0,1,0,37.471981048584
"Bulgaria",2003,3.16509175300598,27.2000007629394,13.6999998092651,9,2698.62426757812,506.149993896484,41.62177,62.36627,0,0,1,18.487979888916
"Bulgaria",2004,3.15112590789794,35.7999992370605,12.1000003814697,9,3363.79956054687,492.459991455078,42.55714,61.62263,0,0,1,18.2871856689453
"Bulgaria",2005,2.58987689018249,29.3999996185302,10.1000003814697,9,3869.52954101562,478.769989013671,45.37209,64.60001,0,0,1,18.1881771087646
"Bulgaria",2006,2.4393572807312,31,9,9,4490.20166015625,451.390014648437,47.15608,62.69926,0,0,1,12.2445287704468
"Bulgaria",2007,2.33911967277526,28.2000007629394,6.90000009536743,9,5885.94921875,437.700012207031,50.59921,60.592,0,1,0,9.26881504058838
"Bulgaria",2008,2.29017877578735,36.2000007629394,5.59999990463256,9,7261.75439453125,449.850006103515,51.92299,56.39984,0,1,0,8.43962574005127
"Bulgaria",2009,2.01179456710815,33.7999992370605,6.80000019073486,9,6969.55859375,411.619995117187,54.23975,52.55882,0,1,0,9.88230037689209
"Bulgaria",2010,1.99876022338867,35.7000007629394,10.3000001907348,9,6843.26708984375,397.429992675781,57.79623,49.87342,0,0,1,11.2911825180054
"Bulgaria",2011,1.74002575874328,35.7999992370605,11.3000001907348,11,7813.806640625,399.140014648437,59.03248,45.49215,0,0,1,11.1178550720215
"Bulgaria",2012,1.92876350879669,36,12.3000001907348,11,7378.02490234375,385.649993896484,61.34677,42.56773,0,0,1,9.7650899887085
"Bulgaria",2013,1.50010848045349,36.599998474121,13,11,7674.86181640625,369.140014648437,64.18284,45.56088,0,0,1,8.7616024017334
"Bulgaria",2014,1.60617101192474,37.4000015258789,11.3999996185302,11,7853.3330078125,391.190002441406,67.56694,50.84621,0,0,1,8.50063514709473
"Bulgaria",2015,1.79730916023254,37,9.19999980926513,11,6993.4755859375,314.209991455078,70.30455,48.08207,0,0,1,9.30075550079346
"Chile",2003,3.24692964553833,51.5,9.5,12,4787.69970703125,163.483001708984,43.31059,94.6184,0,0,1,41.9497947692871
"Chile",2004,3.40707087516784,51.9000015258789,10,12,6210.828125,193.899993896484,43.5159,94.3622,0,0,1,36.7906684875488
"Chile",2005,3.56721186637878,51.3500022888183,9.34152603149414,12,7615.3046875,189.419998168945,48.7186,94.2341,0,0,1,33.0227279663086
"Chile",2006,3.61524224281311,50.7999992370605,8.88449192047119,12,9484.681640625,194.130004882812,47.53733,94.106,0,0,1,27.7485198974609
"Chile",2007,3.73521518707275,52.2999992370605,8.42745780944824,12,10526.8779296875,193.320007324218,53.27978,94.3595,0,1,0,22.3539199829102
"Chile",2008,3.52900028228759,50.6499977111816,9.2849998474121,12,10781.3662109375,200.419998168945,56.32306,94.613,0,0,1,21.3761425018311
"Chile",2009,3.74343967437744,49,8.85466003417968,12,10243.328125,207.899993896484,60.99371,94.84359,0,0,1,21.1804828643799
"Chile",2010,3.18359756469726,48.2999992370605,8.42431926727294,12,12860.177734375,214.570007324218,68.78834,94.958885,0,1,0,19.5517711639404
"Chile",2011,3.70772910118103,47.599998474121,7.54185962677001,12,14705.6923828125,238.070007324218,74.26195,95.07418,0,1,0,17.8869743347168
"Chile",2012,2.507257938385,47.4500007629394,6.65939998626708,12,15431.9033203125,269.700012207031,78.77657,94.6829,0,1,0,19.7757759094238
"Chile",2013,3.1838777065277,47.2999992370605,6.66214990615844,13,15941.3974609375,273.350006103515,83.2779599999999,92.2581,0,1,0,21.813383102417
"Chile",2014,3.62216019630432,47.5,6.6648998260498,13,14794.3154296875,278.390014648437,86.24651,95.93785,0,1,0,24.3168621063232
"Chile",2015,3.00630283355712,47.7000007629394,6.70155906677246,13,13736.6357421875,283.359985351562,88.34568,92.97159,0,1,0,27.5558910369873
"Colombia",2003,55.8049812316894,53.2000007629394,14.1891298294067,10,2246.25756835937,292.781097412109,22.6869,68.6262,0,0,1,42.3864326477051
"Colombia",2004,47.3034439086914,56.099998474121,13.7177629470825,10,2740.24951171875,287.399993896484,26.61453,70.02641,0,0,1,42.3566627502441
"Colombia",2005,41.8406715393066,54.7999992370605,11.869999885559,10,3386.02563476562,296.609985351562,29.18513,75.96508,0,0,1,38.5296783447266
"Colombia",2006,39.8738708496093,58.7000007629394,12.2984151840209,10,3709.07885742187,317.970001220703,31.332,79.31177,0,0,1,32.2437133789062
"Colombia",2007,38.7564315795898,58.9000015258789,11.2447319030761,10,4674.2197265625,305.679992675781,32.63257,82.24174,0,0,1,34.8772850036621
"Colombia",2008,35.9453125,55.5,11.2729997634887,10,5433.72021484375,324.869995117187,35.24593,85.4022,0,0,1,34.3745994567871
"Colombia",2009,34.8267936706542,55.2000007629394,12.6599998474121,10,5148.421875,325.239990234375,37.07871,93.02327,0,0,1,32.3310356140137
"Colombia",2010,33.6664657592773,55.4000015258789,1.98425996303558,10,6250.6552734375,337.130004882812,39.4091,96.73419,1,0,0,30.6901607513428
"Colombia",2011,34.7514877319335,53.5,1.11899924278259,10,7227.73974609375,343.440002441406,43.50342,95.89893,1,0,0,27.1973400115967
"Colombia",2012,35.0671577453613,55,9.74545097351074,10,7884.984375,343.08999633789,46.21621,92.82643,0,0,1,30.3563270568848
"Colombia",2013,32.5687141418457,52.9000015258789,9.51699638366699,10,8030.5859375,366.730010986328,50.104,77.82067,0,0,1,30.8684349060059
"Colombia",2014,27.9189510345458,52.7999992370605,8.57219982147216,10,7913.38330078125,311.779998779296,53.27874,78.23865,0,0,1,33.5293006896973
"Colombia",2015,26.5028934478759,51.099998474121,8.29899978637695,10,6044.525390625,354.474304199218,55.65726,77.64299,0,1,0,35.4961624145508
"Costa Rica",2003,7.27101564407348,49.2999992370605,6.55887746810913,11,4167.7138671875,231.898193359375,25.7105,56.0472,0,1,0,20
"Costa Rica",2004,6.68730497360229,48.2999992370605,6.39999771118164,11,4425.50732421875,232.73680114746,27.28148,53.99016,0,1,0,21.9522972106934
"Costa Rica",2005,7.88635921478271,47.5,6.57199192047119,11,4697.01123046875,261.309997558593,30.6595,58.07128,0,1,0,18.1673851013184
"Costa Rica",2006,8.14613056182861,49.4000015258789,5.73999977111816,11,5245.1875,222.449996948242,33.134,57.46381,0,1,0,21.6026973724365
"Costa Rica",2007,8.44496250152587,49.2999992370605,4.48999977111816,11,6120.62353515625,217.139999389648,35.6085,57.81992,1,0,0,23.2266674041748
"Costa Rica",2008,11.5588455200195,48.7000007629394,4.78113746643066,11,6911.13623046875,231.850006103515,38.083,59.20774,1,0,0,25.3130702972412
"Costa Rica",2009,11.6971750259399,50.599998474121,7.71299982070922,11,6809.39599609375,250.360000610351,40.5575,55.65851,0,1,0,28.395715713501
"Costa Rica",2010,11.5944452285766,48.2000007629394,7.17829465866088,11,8199.4150390625,256.529998779296,43.032,54.71223,0,1,0,25.2253112792969
"Costa Rica",2011,10.3032865524291,48.7000007629394,10.1800003051757,13,9186.5966796875,270.619995117187,47.18065,53.90723,0,0,1,24.7984199523926
"Costa Rica",2012,8.74493598937988,48.599998474121,9.89999961853027,13,9985.369140625,278.140014648437,49.32593,58.64208,0,0,1,24.3454914093018
"Costa Rica",2013,8.73278713226318,49.2999992370605,8.96000003814697,13,10569.666015625,280.720001220703,50.00926,55.81621,0,0,1,22.4518203735352
"Costa Rica",2014,10.0261163711547,48.599998474121,9.11999988555908,13,10630.998046875,280.285003662109,53.03867,58.83444,0,0,1,21.2357444763184
"Costa Rica",2015,11.5852155685424,48.4000015258789,9.26000022888183,13,11393.0244140625,279.850006103515,53.62966,59.13885,0,0,1,18.0941486358643
"Croatia",2003,1.57213139533996,30.3656005859375,14.1000003814697,8,7805.88134765625,458.350006103515,40.77352,90.11455,0,0,1,32.5133666992188
"Croatia",2004,1.89328277111053,30.7070007324218,13.8000001907348,8,9365.7421875,441.58999633789,42.06093,92.53087,0,0,1,30.0099048614502
"Croatia",2005,1.55320048332214,28.7999992370605,13,8,10224.3037109375,429.119995117187,44.76394,94.94719,0,0,1,31.7073173522949
"Croatia",2006,1.69309306144714,32.2410011291503,11.6000003814697,8,11363.41796875,430.899993896484,45.58529,97.87799,0,0,1,30.2113227844238
"Croatia",2007,1.42127966880798,31.4335994720458,9.89999961853027,8,13546.7138671875,469.899993896484,47.1885,97.19591,0,0,1,30.2331008911133
"Croatia",2008,1.6312733888626,31.5765991210937,8.60000038146972,8,15893.8603515625,456.309997558593,49.16588,98.88027,0,0,1,28.6016044616699
"Croatia",2009,1.12875032424926,30.2999992370605,9.30000019073486,8,14157.1552734375,466.559997558593,48.78758,101.13755,0,0,1,24.7802085876465
"Croatia",2010,1.43248176574707,32.4000015258789,11.8000001907348,8,13542.9013671875,482.950012207031,54.0299,99.70617,0,0,1,23.0590515136719
"Croatia",2011,1.13600242137908,32.2999992370605,13.6999998092651,8,14571.4912109375,491.25,57.22782,102.13849,0,0,1,17.6239185333252
"Croatia",2012,1.18700551986694,32.5,15.8000001907348,8,13254.7646484375,497.760009765625,60.36853,96.99413,0,0,1,16.1780204772949
"Croatia",2013,1.07531762123107,32,17.3999996185302,8,13648.990234375,485.709991455078,65.25538,102.6325,0,0,1,21.4613971710205
"Croatia",2014,0.845560073852539,32.099998474121,17.2000007629394,8,13597.0341796875,483.149993896484,67.5591199999999,103.629,0,0,1,21.5785274505615
"Croatia",2015,0.873462259769439,31.1000003814697,16.1000003814697,8,11757.8896484375,487.859985351562,66.9972,104.6255,0,0,1,21.8198146820068
"Cyprus",2003,1.4090701341629,28.5265998840332,4.09999990463256,9,20293.408203125,478.179992675781,31.96361,95.85645,1,0,0,15.5988855361938
"Cyprus",2004,1.58351564407348,30.1000003814697,4.59999990463256,9,23932.4921875,483.739990234375,35.86369,98.73726,1,0,0,18.2819385528564
"Cyprus",2005,1.94617271423339,30.2999992370605,5.30000019073486,10,25324.486328125,496.329986572265,33.22082,99.84482,1,0,0,16.7330684661865
"Cyprus",2006,1.43470788002014,31.1000003814697,4.59999990463256,10,27169.9921875,491.179992675781,33.41991,99.81641,1,0,0,17.1280288696289
"Cyprus",2007,1.22213530540466,31.1000003814697,3.90000009536743,10,31386.6328125,490.950012207031,36.17381,86.62771,1,0,0,12.6142587661743
"Cyprus",2008,0.832129061222076,31.7000007629394,3.70000004768371,10,35390.703125,497.670013427734,42.618,99.67532,1,0,0,18.0981597900391
"Cyprus",2009,1.73029923439025,32.099998474121,5.40000009536743,10,32105.81640625,490.880004882812,52.00389,100.984,1,0,0,18.1660900115967
"Cyprus",2010,0.719031989574432,31.5,6.30000019073486,10,30818.46484375,482.75,48.31158,94.71145,0,1,0,21.8553447723389
"Cyprus",2011,0.800117373466491,32.599998474121,7.90000009536743,10,32233.83984375,475.619995117187,46.53973,92.87139,0,1,0,21.7041797637939
"Cyprus",2012,1.93822014331817,34.2999992370605,11.8999996185302,10,28984.9140625,466.040008544921,45.86359,95.61269,0,0,1,23.0088500976562
"Cyprus",2013,1.04904639720916,37,15.8999996185302,10,27942.31640625,439.630004882812,47.52524,96.5972,0,0,1,21.1573238372803
"Cyprus",2014,0.954605042934417,35.599998474121,16.1000003814697,10,27400.802734375,430.540008544921,53.10435,100.85157,0,0,1,18.9849624633789
"Cyprus",2015,1.29200637340545,34,15,10,23212.224609375,422.380004882812,60.10123,97.61321,0,0,1,20.1096897125244
"Czech Republic",2003,1.59190928936004,21.5,7.80000019073486,9,9773.1171875,456.489990234375,37.00779,91.58381,0,1,0,18.5
"Czech Republic",2004,1.3086529970169,26.1000003814697,8.30000019073486,9,11685.8876953125,461.579986572265,43.73322,91.82657,0,1,0,17.82151222229
"Czech Republic",2005,1.052818775177,27.6000003814697,7.90000009536743,9,13346.1767578125,445.290008544921,48.3479,91.94766,0,1,0,15.1027088165283
"Czech Republic",2006,1.26234579086303,26.7000007629394,7.09999990463256,9,15183.6357421875,445.510009765625,50.13498,99.21432,0,1,0,12.9131231307983
"Czech Republic",2007,1.21661710739135,26,5.30000019073486,9,18373.6484375,426.809997558593,54.18163,94.09143,1,0,0,11.9252948760986
"Czech Republic",2008,1.09365165233612,28.1000003814697,4.40000009536743,9,22698.853515625,411.109985351562,58.07097,94.9935,1,0,0,11.7159299850464
"Czech Republic",2009,0.896361112594604,26.2000007629394,6.69999980926513,9,19741.59765625,417.260009765625,61.07872,94.66034,0,1,0,11.0511140823364
"Czech Republic",2010,0.977574050426483,27,7.30000019073486,9,19808.0703125,392.359985351562,63.94822,86.63584,0,1,0,11.1552515029907
"Czech Republic",2011,0.813722372055053,26.3999996185302,6.69999980926513,9,21717.45703125,370.579986572265,65.56837,88.61241,0,1,0,11.2775135040283
"Czech Republic",2012,0.9918053150177,27.5,7,9,19729.87109375,363.799987792968,65.65736,92.15199,0,1,0,9.64052295684814
"Czech Republic",2013,0.849498927593231,27.5,7,9,19916.01953125,367.5,65.06021,96.74786,0,1,0,13.8660249710083
"Czech Republic",2014,0.764257192611694,25.8999996185302,6.09999990463256,9,19744.55859375,373.570007324218,65.59253,98.01225,0,1,0,11.7107944488525
"Czech Republic",2015,0.829894125461578,25.8999996185302,5.09999990463256,9,17715.6171875,377.190002441406,64.45735,98.901,1,0,0,9.39327144622803
"Denmark",2003,1.20661568641662,25.6000003814697,5.40000009536743,9,40458.76953125,192.309997558593,67.5042799999999,99.851,1,0,0,29.1128807067871
"Denmark",2004,0.795889377593994,24.8999996185302,5.5,9,46511.60546875,194.179992675781,74.395,99.592,1,0,0,28.9089469909668
"Denmark",2005,0.977552831172943,25.2000007629394,4.80000019073486,9,48799.8203125,195.910003662109,80.37451,99.333,1,0,0,25.8351898193359
"Denmark",2006,0.5326669216156,25.8999996185302,3.90000009536743,9,52026.9921875,201.460006713867,79.01963,99.074,1,0,0,27.9247188568115
"Denmark",2007,0.712985515594482,26.2000007629394,3.79999995231628,9,58487.046875,198.100006103515,78.55219,98.815,1,0,0,28.1181011199951
"Denmark",2008,0.982211947441101,25.2000007629394,3.40000009536743,9,64322.06640625,195.440002441406,75.6818399999999,99.21456,1,0,0,34.2799186706543
"Denmark",2009,0.850455999374389,26.7000007629394,6,9,58163.29296875,196.330001831054,74.2832899999999,97.11738,0,1,0,38.3230323791504
"Denmark",2010,0.756096839904785,27.2000007629394,7.5,10,58041.41015625,199.679992675781,73.59622,97.80104,0,1,0,35.7251510620117
"Denmark",2011,0.823948502540588,27.2999992370605,7.59999990463256,10,61753.66015625,194.889999389648,76.7583499999999,99.70815,0,1,0,34.9886016845703
"Denmark",2012,0.837691128253936,27,7.5,10,58507.5,192.77000427246,79.10969,96.37375,0,1,0,28.5191955566406
"Denmark",2013,0.851393342018127,28.5,7,10,61191.19140625,191.100006103515,80.93442,97.56087,0,1,0,29.9682235717773
"Denmark",2014,1.28886139392852,28.3999996185302,6.59999990463256,10,62548.984375,187.58999633789,81.03409,95.83729,0,1,0,29.7516040802002
"Denmark",2015,0.984408557415008,28.2000007629394,6.19999980926513,10,53012.99609375,185.800003051757,82.13379,97.60019,0,1,0,29.0352783203125
